"Year","Page","Section","Score","Strength","Stage","SDGs","Tags","Quant","Oversight","Summary","Text"
2020,94,"COMMITTED TO RESPONSIBLE STEWARDSHIP Our approach Steel is a resource-intensive industry that has a strong reliance on natural capital. The process of steelmaking involves complex activities that require heavy energy utilisation and effective waste and emissions management. As a large-scale steelmaker, we are mindful of the impact our operations have",5,"moderate","In progress","SDG 13","initiative, target","","","The company is aware of its carbon footprint and has implemented measures to reduce CO2 emissions.","We are equally aware of our carbon footprint and have taken active steps to reduce CO2 emissions through the deployment of state-of-the-art equipment and technology-led systems."
2020,94,"COMMITTED TO RESPONSIBLE STEWARDSHIP Our approach Steel is a resource-intensive industry that has a strong reliance on natural capital. The process of steelmaking involves complex activities that require heavy energy utilisation and effective waste and emissions management. As a large-scale steelmaker, we are mindful of the impact our operations have",5,"moderate","In progress","SDG 3, SDG 13","policy, initiative","","","The company limits its emissions of PM, SOx, and NOx to levels below regulatory requirements.","We also restrict our Particulate Matter (PM), SOx and NOx emissions to levels below statutory limits by use of best available technologies (BAT), conscious of their possible impact on the local environment."
2020,167,"Key focus areas for JSW Steel in a post-COVID world",5,"moderate","In progress","SDG 7, SDG 13","initiative, target","","","The company is implementing plans to reduce carbon footprints by replacing thermal coal with renewable energy sources.","JSW Steel remains committed in its efforts to reduce carbon footprints, as it is implementing plans to ensure zero usage of thermal coal, and thereby replacing coal with renewable source of energy for generating power in the steel operations."
2020,167,"Key focus areas for JSW Steel in a post-COVID world",5,"moderate","In progress","SDG 7, SDG 13","initiative, target","","","The company is undertaking initiatives and research to reduce the intensity of metallurgical coal usage.","Further a lot of initiatives and ongoing research and development activities are underway to reduce the intensity of metallurgical coal usage in the Company’s blast furnaces."
2020,210,"DIRECTORS’ REPORT",5,"moderate","In progress","SDG 2, SDG 3","initiative","","✓","The company focuses on strengthening public health and nutrition, particularly for mothers, children, and adolescent girls.","Strengthening public health and nutrition with special focus on mothers, children & adolescent girls."
2020,210,"DIRECTORS’ REPORT",5,"moderate","In progress","SDG 6, SDG 1","initiative","","✓","The company implements comprehensive water management to achieve sustainable environments and support agricultural livelihoods.","Comprehensive water management leading not only to sustainable environment but also sustained agri-livelihoods, in turn affecting nutrition and poverty."
2020,210,"DIRECTORS’ REPORT",5,"moderate","In progress","SDG 5","initiative","","✓","The company empowers women through initiatives like rural BPOs and self-help groups.","Empowerment of women through JSW Shakti initiatives, i.e. (Rural BPO for women, promoting Self-Help Groups etc.)."
2020,210,"DIRECTORS’ REPORT",5,"moderate","In progress","SDG 4","initiative","","✓","The company improves rural education through infrastructure, training, and capacity building.","Improving quality education in rural schools through infrastructure, training methodology and capacity building initiatives."
2020,210,"DIRECTORS’ REPORT",5,"moderate","In progress","SDG 6, SDG 12","initiative","","✓","The company focuses on sanitation and waste management, particularly addressing single-use plastic waste.","Sanitation and waste management, single use plastic waste in particular."
2020,48,"RISK MANAGEMENT",5,"moderate","In progress","SDG 7, SDG 13","initiative, target","","","The company describes its efforts to increase the use of captive power plants, self-generation, and energy efficiency measures.","› Substantial portion of the power requirements are increasingly being met through Captive Power Plants (CPPs) › The power required would be met partly through self-generation from coke oven / blast furnace gases and balance under long-term power purchase agreements through open access › Enhance our power transmission capacity › Complying with all applicable norms through use of best-in-class technology › Selecting the right equipment, technology, processes, inputs and tracking emissions."
2020,209,"FINANCIAL STATEMENTS",5,"moderate","In progress","SDG 6","initiative","✓","","The company installed effluent monitoring devices at multiple locations in Vijayanagar.","In Vijayanagar, 18 effluent monitoring devices were installed at six locations."
2020,209,"FINANCIAL STATEMENTS",5,"moderate","In progress","SDG 6","initiative","✓","","Treating blast furnace recirculation water reduces water consumption and improves water quality.","This helps reduce the pH of the water and hardness. It also reduces the total dissolved solids (TDS) in outlet effluent, resulting in lower water consumption."
2020,209,"FINANCIAL STATEMENTS",5,"moderate","In progress","SDG 6","initiative","✓","","An effluent treatment plant was installed in Salem with a capacity to treat wastewater and reduce fresh water consumption.","Effluent Treatment Plant installed at the Salem facility with a capacity of 125 KLD and a Zero Liquid Discharge system in Acid pickling plant to treat the effluent. This will help reduce fresh water consumption by approximately 85 KLD."
2020,97,"Key performance indicators",4,"moderate","Planned","SDG 13","target","✓","","The company commits to reducing specific greenhouse gas emissions by 2030.","WE COMMIT TO REDUCING SPECIFIC GHG EMISSIONS (SCOPE 1 AND SCOPE 2) FROM THE THREE INTEGRATED STEEL PLANTS TO 2.0 tC02/tcs by 2030"
2020,91,"Material issues",4,"moderate","Planned","SDG 7, SDG 9, SDG 12, SDG 13","initiative, target","","","The company aims to improve energy efficiency, support decarbonization, and promote a circular economy.","Improve energy efficiency, and support decarbonisation and circular economy"
2020,96,"Climate change",4,"moderate","Planned","SDG 13","policy, initiative","","","The company states it has established a climate change policy with commitments to prevent climate change and build resilience.","As part of our efforts to remain focused on climate change issues to support delivering our Sustainability Vision, we have established a climate change policy that includes our commitments on the following: Prevention of the causes of climate change Creating resilience to climate change"
2020,114,"Biodiversity",4,"moderate","In progress","SDG 1, SDG 8","initiative","","","The company undertakes projects through JSW Foundation to support community self-sustenance and employment.","We undertake specific projects through JSW Foundation, involving communities for self-sustenance and employment generation."
2020,114,"Biodiversity",4,"moderate","In progress","SDG 13, SDG 15","initiative","","","The company is a member of the India Business and Biodiversity Initiative (IBBI) working group.","We are also a Working Group (WG) member of the India Business and Biodiversity Initiative (IBBI) Chapter of CII-CESD."
2020,48,"RISK MANAGEMENT",4,"moderate","Planned","SDG 13","policy, initiative","","","The company states that planned expansions require adherence to environmental regulations and assessments.","For planned capacity expansion projects, there is a need to adhere to legal requirements such as environmental assessments, environmental impact studies and/or plans of development before commencing production activities."
2020,48,"RISK MANAGEMENT",4,"moderate","Planned","SDG 9, SDG 13","initiative, target","","","The company plans to invest in technologies to reduce dust emissions and manage waste from its operations.","Additional capex allocation for advanced technologies such as Maximised Emission Reduction of Sintering (MEROS) in sinter to further reduce dust emissions › Exploring use of steam box ageing technology to treat Basic Oxygen Furnace (BOF) slag that would be generated after proposed expansions at Vijayanagar and Dolvi"
2020,210,"DIRECTORS’ REPORT",4,"moderate","Planned","SDG 13","aspiration, initiative","✓","","The company aims to plant one million trees in collaboration with the Forest Department.","The Company has set a goal to plant one million trees in collaboration with the Forest Department in nearby degraded forest areas at Dolvi and Karav."
2020,209,"FINANCIAL STATEMENTS",4,"moderate","In progress","SDG 6","initiative","","","The company uses RO plants to recover and reuse water, achieving zero liquid discharge.","Vijayanagar uses six RO plants for recovery of makeup water and reuses treated blowdown water for secondary applications, thereby ensuring zero liquid discharge."
2020,209,"FINANCIAL STATEMENTS",4,"moderate","In progress","SDG 6","initiative","","","Wastewater in Salem is treated and reused for plant operations.","In Salem, wastewater from Ultrafiltration RO Plant and Multigrade Filter is diverted to recycled water treatment plants. The recycled water is reused for plant makeup water."
2020,97,"Key performance indicators",3,"moderate","Planned","SDG 13","target","","","The company commits to achieving carbon neutrality at JSW Steel Coated Products Ltd. by 2030.","WE ALSO COMMIT TO ACHIEVING CARBON NEUTRALITY AT JSW STEEL COATED PRODUCTS LTD. BY 2030"
2020,91,"Material issues",3,"moderate","Planned","SDG 3, SDG 8","initiative","","","The company aims to maintain the highest safety and well-being standards for all employees.","Maintain the highest standards of safety and well-being of all employees"
2020,91,"Material issues",3,"moderate","Planned","SDG 1, SDG 2, SDG 3, SDG 8, SDG 10, SDG 11","initiative","","","The company aims to make a positive impact on the lives of people in communities surrounding their operations.","Make a tangible difference in the lives of people in the areas surrounding our operations"
2020,94,"COMMITTED TO RESPONSIBLE STEWARDSHIP Our approach Steel is a resource-intensive industry that has a strong reliance on natural capital. The process of steelmaking involves complex activities that require heavy energy utilisation and effective waste and emissions management. As a large-scale steelmaker, we are mindful of the impact our operations have",3,"moderate","Planned","SDG 13","aspiration, policy","","","The company acknowledges the environmental impact of its operations and aims to minimize its footprint.","As a large-scale steelmaker, we are mindful of the impact our operations have on the environment and attempt to minimise our environmental footprint throughout our integrated operations."
2020,48,"RISK MANAGEMENT",3,"moderate","Planned","SDG 13","policy","","","The company acknowledges the potential need for investments and operational changes to comply with stricter environmental regulations.","Compliance with new and more stringent environmental obligations relating to Greenhouse Gas (GHG) emissions may require additional capital expenditures or modifications in operating practices, as well as additional reporting obligations."
2020,93,"Our sustainability framework, policy and focus areas",2,"weak","Mention only","SDG 1, SDG 2, SDG 3, SDG 4, SDG 5, SDG 6, SDG 7, SDG 8, SDG 9, SDG 10, SDG 11, SDG 12, SDG 13, SDG 14, SDG 15, SDG 16, SDG 17","policy","","","The company states they reviewed existing policies, globally relevant guidelines and frameworks, including the UN SDGs, when determining their focus areas.","We determined our focus areas by reviewing our existing set of sustainability policies. We examined globally relevant guidelines and frameworks that can apply to our operations and took into account the relevant requirements as applicable to our operations while formulating the policies."
2020,26,"FROM THE CMD’S DESK Emerging stronger and better every day",2,"weak","Mention only","SDG 1, SDG 2, SDG 3, SDG 4, SDG 5, SDG 6, SDG 7, SDG 8, SDG 9, SDG 10, SDG 11, SDG 12, SDG 13, SDG 14, SDG 15, SDG 16, SDG 17","aspiration, policy","","","The company has established a sustainability framework with 17 focus areas aimed at creating a significant impact.","This year we also outlined a comprehensive sustainability framework comprising 17 core focus areas, where we can create significant impact."
2020,26,"FROM THE CMD’S DESK Emerging stronger and better every day",2,"weak","Mention only","SDG 3","aspiration, policy","","","The company prioritizes the safety and well-being of its employees, aiming for 'Zero Harm'.","The safety and well-being of our people is of paramount importance to us. At JSW Group, our vision is to achieve ‘Zero Harm’."
2020,112,"STRATEGIC FOCUS AREAS > S6 Air emissions",2,"weak","Mention only","SDG 3, SDG 9, SDG 13","policy","","","The text states that air pollution has led to regulations controlling emissions.","Deterioration of air quality, acidification, forest degradation and public health concerns have led to local and international regulations to control emissions of pollutants such as PM, SOx and NOx."
2020,112,"STRATEGIC FOCUS AREAS > S6 Air emissions",2,"weak","Mention only","SDG 12, SDG 13","aspiration, policy","","","The company acknowledges its responsibility to reduce air emissions beyond regulatory requirements.","By virtue of the industry that we operate in, we generate different polluting air emissions, which have been controlled according to prescribed regulatory norms. However, we recognise that we have definite moral and social obligations to do more in this respect."
2020,91,"Material issues",2,"weak","Mention only","SDG 1, SDG 8, SDG 11, SDG 12, SDG 13, SDG 17","aspiration, policy","","","The company states that sustainability is at the core of their corporate strategy and they strive to be a force for good.","With sustainability at the core of our corporate strategy, we strive to be a force for good, driven by responsible business conduct that enhances the lives of communities and nurtures the environment."
2020,167,"Key focus areas for JSW Steel in a post-COVID world",2,"weak","Mention only","SDG 1, SDG 2, SDG 3, SDG 4, SDG 5, SDG 6, SDG 7, SDG 8, SDG 9, SDG 10, SDG 11, SDG 12, SDG 13, SDG 14, SDG 15, SDG 16, SDG 17","aspiration, policy","","","The company has a sustainability framework with 17 focus areas.","The Company outlined a comprehensive sustainability framework comprising 17 core focus areas, where it creates a significant impact."
2020,96,"Climate change",2,"weak","Mention only","SDG 13","policy","","","The text highlights the global recognition of climate change as a major challenge and the international efforts to address it.","Climate change has emerged as one of the paramount perils of the 21st century, with nations across the world formulating their own policies and also deepening multilateral dialogue and coordination among themselves to arrest its impact on economies and society."
2020,96,"Climate change",2,"weak","Mention only","SDG 13","policy","","","The text mentions the need for industries like steel to actively reduce their carbon emissions.","Further, there is a call for active decarbonisation by industries such as steel, which have historically contributed to large-scale carbon emissions."
2020,130,"Social sustainability",1,"weak","Mention only","SDG 1, SDG 8, SDG 10","aspiration","","","JSW Steel aims to empower communities to achieve sustainable livelihoods.","JSW Steel has a vision to ‘Empower communities to create sustainable livelihoods’."
2020,93,"Our sustainability framework, policy and focus areas",1,"weak","Mention only","SDG 1, SDG 2, SDG 3, SDG 4, SDG 5, SDG 6, SDG 7, SDG 8, SDG 9, SDG 10, SDG 11, SDG 12, SDG 13, SDG 14, SDG 15, SDG 16, SDG 17","aspiration","","","The company lists the UN Sustainable Development Goals as one of the key guidelines and frameworks they consider.","The key guidelines and frameworks that we have taken into consideration are: › United Nations Sustainable Development Goals (UN SDGs)"
2020,144,"SDG LOCATION(S) PAGE NUMBER",1,"weak","Mention only","SDG 1","aspiration","","","The company states its commitment to ending poverty.","End poverty in all its forms everywhere."
2020,144,"SDG LOCATION(S) PAGE NUMBER",1,"weak","Mention only","SDG 2","aspiration","","","The company aims to end hunger and promote sustainable agriculture.","End hunger, achieve food security and improved nutrition, and promote sustainable agriculture."
2020,144,"SDG LOCATION(S) PAGE NUMBER",1,"weak","Mention only","SDG 3","aspiration","","","The company is committed to ensuring healthy lives and well-being for all.","Ensure healthy lives and promote well-being for all at all ages."
2020,144,"SDG LOCATION(S) PAGE NUMBER",1,"weak","Mention only","SDG 4","aspiration","","","The company aims to provide inclusive and equitable quality education and lifelong learning opportunities.","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all."
2020,144,"SDG LOCATION(S) PAGE NUMBER",1,"weak","Mention only","SDG 5","aspiration","","","The company strives for gender equality and empowerment of women and girls.","Achieve gender equality and empower all women and girls."
2020,112,"STRATEGIC FOCUS AREAS > S6 Air emissions",1,"weak","Mention only","SDG 3","aspiration","","","The company believes that reducing emissions is important for the health of employees and surrounding communities.","We firmly believe that lesser emissions of regulated pollutants have a significant bearing on the health of our employees and the communities living around our units."
2020,48,"RISK MANAGEMENT",1,"weak","Mention only","SDG 13","aspiration","","","The text states that there is a growing global focus on environmental protection and combating climate change.","Globally, public interest in environmental protection has increased in recent years, with increasing efforts to combat climate change."
2022,19,"2. Details of the scope and coverage of any Human rights due-diligence conducted. We propose to carry out the assessment in the near future. 3.",9,"strong","Measurable","SDG 7, SDG 12","target, measured_outcome","✓","✓","JSW Steel Salem achieved its energy efficiency targets under the PAT scheme, verified by a third party.","JSW Steel Salem- PAT Cycle-III- FY20- Target Achieved as per the 3rd party verification."
2022,13,"b.",9,"strong","Measurable","SDG 8","initiative, target, measured_outcome","✓","","The company underwent British Safety Council audits, with one plant achieving a 5-star rating.","• British safety council Audits were initiated at our plants. Salem unit become the first ISP in the world to be recognised with 5 Star rating."
2022,19,"2. Details of the scope and coverage of any Human rights due-diligence conducted. We propose to carry out the assessment in the near future. 3.",8,"strong","Measurable","SDG 7, SDG 12","target, measured_outcome","✓","","JSW Steel Vijayanagar achieved its energy efficiency targets under the PAT scheme.","JSW Steel Vijayanagar- PAT Cycle-II- FY19- Target Achieved"
2022,20,"4.",7,"strong","In progress","SDG 13","initiative, measured_outcome","✓","","The company operates a Carbon Capture and Utilisation (CCU) facility with a capacity of 100TPD, capturing and refining CO2 for use in the food & beverage industry.","We are operating a CCU of 100TPD capacity where CO2 is captured and refined for use in the food & beverage industry."
2022,4,"22. (i) Whether CSR is applicable as per section 135 of Companies Act, 2013: (Yes/No) – Yes (ii) Turnover (in ` ) – consolidated gross turnover: ` 143,829 crore, Standalone Gross Turnover: `",6,"strong","In progress","SDG 1, SDG 2, SDG 3, SDG 4, SDG 5, SDG 6, SDG 7, SDG 8, SDG 9, SDG 10, SDG 11, SDG 12, SDG 13, SDG 14, SDG 15, SDG 16, SDG 17","policy, initiative","","✓","The committee oversees the implementation of sustainability activities based on various international standards and frameworks, including the UN SDGs.","The committee oversee the implementation of activities under the purview of polices of the 9 principles of NGRBCs & other relevant international standards and frameworks such as UNGC, UN SDG, IFC, OECD, ISO etc."
2022,7,"11.",6,"strong","In progress","SDG 8, SDG 9","kpi, initiative","✓","","Approximately 40% of workers are continuously engaged in safety management practices.","≈40% Workers On continual basis Safety Management"
2022,15,"5. Details on assessment of value chain partners:",6,"strong","In progress","SDG 8, SDG 12","initiative, target","✓","","The company conducts internal assessments of all its plants and offices to identify potential issues related to labor, environment, and other social and environmental parameters.","100% of all our plants and offices are assessed internally for any issues related to the parameters."
2022,25,"2.",6,"strong","In progress","SDG 1, SDG 8, SDG 11","initiative, target","✓","","Details of the Integrated Steel Plant (ISP) project in Paradip, Odisha, including the number of Project Affected Families (PAFs) and the amount paid to them.","Integrated Steel Plant (ISP) project, Paradip
Odisha
Jagatsinghpur
5000
52
39.03 Cr"
2022,15,"5. Details on assessment of value chain partners:",6,"strong","In progress","SDG 8, SDG 12","policy, target","✓","","The company states that 100% of contractors undergo a pre-qualification process with mandatory compliance requirements and a baseline score.","100 % contractors are being subjected to the revised and stringent Pre-Qualification process with 10 mandatory compliance requirements and a base line score of 70%"
2022,15,"5. Details on assessment of value chain partners:",6,"strong","In progress","SDG 8, SDG 12","initiative, target","✓","","The company launched a contractor assessment and rating system (JSW CARES) that assesses over 1000 contractors using a 5-star rating system.","JSW CARES (Contractor Assessment and Rating for Excellence in Safety) is launched a year back and more than 1000 contractors are assessed and rated through 5 STAR rating system."
2022,15,"5. Details on assessment of value chain partners:",5,"moderate","In progress","SDG 16","policy, initiative","","","The company provides human rights awareness training to most employees and includes it in the onboarding process.","Majority of our employees are provided with human rights awareness. There is a policy on Human Rights of the company available on intranet and website of the company. For all new employees who are onboarded, Human Rights awareness is part of the induction session."
2022,7,"11.",5,"moderate","In progress","SDG 8","policy, initiative","","","The company provides training on code of conduct, adaptive leadership, and effective coaching to employees.","Topics covering code of conduct, adaptive leadership programmes, and effective coaching."
2022,20,"4.",5,"moderate","In progress","SDG 13","policy, initiative","","","The company has adopted Best Available Technologies (BAT) to improve the environmental impact of its operations.","We have adopted the Best Available Technologies (BAT) to improve the of our operations on climate."
2022,15,"5. Details on assessment of value chain partners:",5,"moderate","In progress","SDG 8, SDG 12","policy, initiative","","","The company has implemented a vendor registration tool that requires suppliers to disclose information about their social and environmental practices.","We have developed vendor and supplier registration tool in which we have provided questionnaires so that every new supplier/distributor has to disclose the social and environment parameters such as licence to operate industrial H&S department, consent from the respective state pollution control boards, ISO certifications, etc."
2022,13,"b.",5,"moderate","In progress","SDG 8","policy, initiative","","","The company implements an OH&S Management system compliant with ISO 45001:2018.","• OH&S Management system implemented at our plants is complying with ISO 45001:2018."
2022,13,"b.",5,"moderate","In progress","SDG 8, SDG 9","initiative, target","","","The company promotes technology interventions for hazard identification using smart cameras, geofencing, and sensors.","• Technology interventions in Hazard Identification is being promoted extensively through use of smart cameras, Geo fencing, Sensors in Men-Machine interface etc.,"
2022,13,"b.",5,"moderate","In progress","SDG 8","initiative, target","","","The company developed critical safety rules based on accident history and communicated them through a 3D animated video.","• JSW Critical Safety Rules was developed based on the criticality and past history of accidents. This was cascaded through development of a 3 D animated video."
2022,4,"22. (i) Whether CSR is applicable as per section 135 of Companies Act, 2013: (Yes/No) – Yes (ii) Turnover (in ` ) – consolidated gross turnover: ` 143,829 crore, Standalone Gross Turnover: `",4,"moderate","Planned","SDG 7, SDG 13, SDG 6, SDG 12, SDG 15","target, kpi","","","The company has set targets for sustainability KPIs related to various SDGs.","JSW Steel has set targets for Sustainability KPIs related to climate change, energy, water, waste, air emissions and biodiversity for 2030."
2022,4,"22. (i) Whether CSR is applicable as per section 135 of Companies Act, 2013: (Yes/No) – Yes (ii) Turnover (in ` ) – consolidated gross turnover: ` 143,829 crore, Standalone Gross Turnover: `",4,"moderate","In progress","SDG 17","governance","","✓","A committee has been established to oversee the company's sustainability performance.","The Board of Directors have constituted a sub-committee of the Board known as the “Business Responsibility/Sustainability Reporting Committee”which is responsible for the overall Sustainability performance of the company."
2022,15,"5. Details on assessment of value chain partners:",4,"moderate","In progress","SDG 3, SDG 4, SDG 10","initiative","","","The company states its work focuses on education, health, nutrition, sanitation, and well-being of marginalized communities.","JSW has been working for education, health & nutrition, sanitation and wellbeing of marginalised sections of the society."
2022,15,"5. Details on assessment of value chain partners:",4,"moderate","In progress","SDG 8, SDG 11","initiative","","","The company aims to improve the quality of life for people affected by its operations through various programs.","JSW Steel focuses on strengthening its relationships with the communities through a meaningful and purposeful engagement. It implements a range of programmes that enables improved quality of life for people who are impacted by its operations."
2022,20,"4.",4,"moderate","Planned","SDG 13","target","✓","","The company has set a target to reduce CO2 emissions by 42% by 2030.","We have set ourselves an ambitious CO2 emission reduction target of 42% reduction over a base year of 2005 till 2030."
2022,20,"4.",4,"moderate","In progress","SDG 13","initiative","","","The company has adopted Best Available Technologies (BAT) to improve its operations' impact on climate.","We have adopted the Best Available Technologies (BAT) to improve the of our operations on climate."
2022,7,"11.",4,"moderate","In progress","SDG 12, SDG 13, SDG 15, SDG 17","aspiration, initiative","","","The company raises awareness about various sustainability topics through internal communication and initiatives.","Awareness by way of periodical internal communication -Delivering value from ESG, Sustainability Initiatives at locations, Actions & Initiatives of JSW Foundation, Environment Initiatives at locations, Life Cycle Assessment & Product Sustainability, Biodiversity & its importance for Business, Social Interventions for Sustainable World & Safety Management."
2022,20,"4.",4,"moderate","Planned","SDG 13","target, aspiration","✓","","The company aims to reduce CO2 emissions below 1.95tCO2/tcs by 2030, aligning with the global sustainable development scenario (SDS) pathway.","This will bring down the CO2 levels below 1.95tCO2/tcs. This target is aligned with the global sustainable development scenario (SDS) pathway."
2022,6,"Principle-Wise Policies",4,"moderate","In progress","SDG 17","governance","","✓","The company has a sustainability committee that meets twice a year to review progress on sustainability parameters.","The board sustainability committee meets twice in a year to discuss the progress against sustainability parameters of the company and review the polices."
2022,6,"Principle-Wise Policies",4,"moderate","In progress","SDG 12, SDG 13, SDG 17","policy","","","The company reports no major non-compliances with statutory requirements related to sustainability principles.","No major non-compliance. Operational issues are being addressed on an ‘ongoing basis’ as and when identified"
2022,15,"5. Details on assessment of value chain partners:",4,"moderate","In progress","SDG 8, SDG 16","initiative","","","The company has a structured grievance redressal mechanism that allows stakeholders to raise concerns, including those related to human rights.","It has a structured stakeholder grievance redressal mechanism through which stakeholders freely share their concerns and grievances with the Company, including regarding human rights issues."
2022,15,"5. Details on assessment of value chain partners:",4,"moderate","In progress","SDG 16","governance","","✓","The company has a stakeholder relationship committee that oversees the grievance redressal system and reports serious concerns.","Company have stakeholder relationship committee to periodically look into the functioning of the Company’s shareholder/ investor grievance redressal system and oversee improvements in the same, besides reporting serious concerns, if any."
2022,27,"6. Details of beneficiaries of CSR Projects:",4,"moderate","In progress","SDG 1, SDG 10","initiative","","","The company's CSR programs primarily benefit vulnerable and marginalized communities due to their location in tribal areas.","By virtue of working in areas with predominantly tribal communities, the programs by default reach out largely to the vulnerable and marginalised communities."
2022,25,"2.",4,"moderate","Planned","SDG 8, SDG 9, SDG 12, SDG 16, SDG 17","policy, initiative","","","JSW Steel participates in industry associations and working groups to influence policy in areas related to sustainable development.","JSW Steel works closely with industry/trade associations in evolving policies that govern the functioning and regulations of the Indian Steel sector. The company is a member of various working groups to support the government in the following areas - • Governance and administration • Economic Reforms • Sustainabile business principles • Energy, water and other natural resources • Social and community development • Transparency in public disclosure"
2022,13,"b.",4,"moderate","In progress","SDG 8","initiative","","","The company launched a 'Safety Hero Program' to recognize employees who demonstrate safety consciousness.","• Safety Hero Program was launched to recognise safety conscious persons amongst shop floor workmen and employees."
